<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.03.30	00:03:30.952	1.15021	1.15034			6
2026.03.30	00:03:47.829	1.15019				2
2026.03.30	00:03:48.429	1.15021				2
2026.03.30	00:04:00.205	1.15021				2
2026.03.30	00:04:31.252		1.15034			4
2026.03.30	00:05:00.150	1.15021				2
2026.03.30	00:05:00.455		1.15035			4
2026.03.30	00:05:02.263	1.15018	1.15039			6
2026.03.30	00:05:03.167	1.15017				2
2026.03.30	00:05:04.973	1.15018				2
2026.03.30	00:05:05.277	1.15010	1.15034			6
2026.03.30	00:05:06.179	1.15012	1.15032			6
2026.03.30	00:05:07.086		1.15031			4
2026.03.30	00:05:08.295		1.15029			4
2026.03.30	00:05:13.411		1.15032			4
2026.03.30	00:05:13.711		1.15022			4
2026.03.30	00:05:16.419		1.15023			4
2026.03.30	00:05:17.019		1.15025			4
2026.03.30	00:05:17.921		1.15023			4
2026.03.30	00:05:31.448		1.15028			4
2026.03.30	00:05:31.750		1.15029			4
2026.03.30	00:05:35.970	1.15013				2
2026.03.30	00:05:40.189		1.15024			4
2026.03.30	00:05:49.219		1.15025			4
2026.03.30	00:05:52.828		1.15026			4
2026.03.30	00:05:53.428		1.15024			4
2026.03.30	00:06:00.064	1.15013				2
2026.03.30	00:06:04.882	1.15010	1.15025			6
2026.03.30	00:06:12.710		1.15026			4
2026.03.30	00:06:17.222	1.15011				2
2026.03.30	00:06:36.169	1.15012				2
2026.03.30	00:07:00.235	1.15012				2
2026.03.30	00:07:05.049		1.15030			4
2026.03.30	00:08:00.126	1.15012				2
2026.03.30	00:08:00.425		1.15031			4
2026.03.30	00:08:04.329		1.15032			4
2026.03.30	00:08:05.231		1.15031			4
2026.03.30	00:08:06.432		1.15030			4
2026.03.30	00:08:08.237		1.15032			4
2026.03.30	00:08:10.339		1.15031			4
2026.03.30	00:08:10.641		1.15032			4
2026.03.30	00:08:13.060		1.15030			4
2026.03.30	00:08:44.684	1.15006	1.15025			6
2026.03.30	00:09:00.030	1.15006				2
2026.03.30	00:09:44.918		1.15025			4
2026.03.30	00:09:48.526		1.15024			4
2026.03.30	00:10:00.269	1.15006				2
2026.03.30	00:10:01.471		1.15026			4
